SOVisitFreq,SOPartFreq,SOComm,SOAccount,ResponseId
Multiple times per day,Less than once per month or monthly,"Yes, definitely",Yes,953
A few times per week,Less than once per month or monthly,"No, not really",Yes,954
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,955
Multiple times per day,Daily or almost daily,"Yes, definitely",Yes,956
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,957
A few times per week,,"No, not at all",No,958
A few times per month or weekly,I have never participated in Q&A on Stack Overflow,Neutral,Yes,959
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,960
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,961
A few times per week,Less than once per month or monthly,"No, not really",Yes,962
A few times per month or weekly,,"No, not really",No,963
Daily or almost daily,,"Yes, somewhat",No,964
Multiple times per day,Daily or almost daily,"Yes, somewhat",Yes,965
A few times per week,Less than once per month or monthly,Not sure,Yes,966
Multiple times per day,Multiple times per day,Neutral,Yes,967
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,968
A few times per month or weekly,,"No, not really",Not sure/can't remember,969
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,970
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,971
Multiple times per day,Multiple times per day,"Yes, definitely",Yes,972
A few times per month or weekly,,"No, not at all",Not sure/can't remember,973
Less than once per month or monthly,Less than once per month or monthly,"No, not really",Yes,974
Daily or almost daily,,"No, not really",No,975
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,976
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,977
Daily or almost daily,A few times per month or weekly,Neutral,Yes,978
A few times per week,Less than once per month or monthly,"No, not really",Yes,979
A few times per week,,"No, not really",No,980
A few times per month or weekly,Less than once per month or monthly,"No, not at all",Yes,981
A few times per month or weekly,,"No, not really",Not sure/can't remember,982
Multiple times per day,A few times per week,"Yes, definitely",Yes,983
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,984
A few times per week,,"No, not really",No,985
A few times per week,,"No, not at all",No,986
A few times per week,I have never participated in Q&A on Stack Overflow,Neutral,Yes,987
Daily or almost daily,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,988
Daily or almost daily,,"No, not really",No,989
Multiple times per day,,"No, not really",No,990
A few times per week,A few times per month or weekly,"No, not really",Yes,991
A few times per month or weekly,,"No, not really",Not sure/can't remember,992
A few times per month or weekly,,"No, not really",No,993
Daily or almost daily,I have never participated in Q&A on Stack Overflow,Neutral,Yes,994
Daily or almost daily,Less than once per month or monthly,"Yes, somewhat",Yes,995
Daily or almost daily,,"No, not at all",No,996
A few times per week,Less than once per month or monthly,"No, not really",Yes,997
A few times per month or weekly,,"No, not at all",No,998
Multiple times per day,,Neutral,No,999
Daily or almost daily,Less than once per month or monthly,Neutral,Yes,1000
A few times per month or weekly,Less than once per month or monthly,"No, not really",Yes,1001
A few times per month or weekly,Less than once per month or monthly,Neutral,Yes,1002
A few times per week,A few times per month or weekly,"No, not really",Yes,1003
Multiple times per day,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",Yes,1004
A few times per week,,"No, not really",Not sure/can't remember,1005
A few times per week,I have never participated in Q&A on Stack Overflow,"No, not really",Yes,1006
Multiple times per day,,Neutral,No,1007
Daily or almost daily,Less than once per month or monthly,"No, not really",Yes,1008
Daily or almost daily,,"No, not really",No,1009
A few times per week,,"No, not really",No,1010
A few times per week,,"No, not at all",Not sure/can't remember,1011
